Entity,Code,Year,Median age - Sex: all - Age: all - Variant: estimates,Median age - Sex: all - Age: all - Variant: medium
Africa (UN),,1956,17.867,
Africa (UN),,1957,17.788,
Africa (UN),,1958,17.695,
Africa (UN),,1959,17.59,
Africa (UN),,1960,17.486,
Africa (UN),,1961,17.392,
Africa (UN),,1962,17.308,
Africa (UN),,1963,17.231,
Africa (UN),,1964,17.164,
Africa (UN),,1965,17.101,
Africa (UN),,1966,17.026,
Africa (UN),,1967,16.943,
Africa (UN),,1968,16.866,
Africa (UN),,1969,16.795,
Africa (UN),,1970,16.731,
Africa (UN),,1971,16.668,
Africa (UN),,1972,16.608,
Africa (UN),,1973,16.554,
Africa (UN),,1974,16.509,
Africa (UN),,1975,16.466,
Africa (UN),,1976,16.414,
Africa (UN),,1977,16.369,
Africa (UN),,1978,16.345,
Africa (UN),,1979,16.328,
Africa (UN),,1980,16.314,
Africa (UN),,1981,16.304,
Africa (UN),,1982,16.302,
Africa (UN),,1983,16.313,
Africa (UN),,1984,16.328,
Africa (UN),,1985,16.344,
Africa (UN),,1986,16.364,
Africa (UN),,1987,16.389,
Africa (UN),,1988,16.424,
Africa (UN),,1989,16.465,
Africa (UN),,1990,16.517,
Africa (UN),,1991,16.574,
Africa (UN),,1992,16.62,
Africa (UN),,1993,16.679,
Africa (UN),,1994,16.747,
Africa (UN),,1995,16.796,
Africa (UN),,1996,16.819,
Africa (UN),,1997,16.855,
Africa (UN),,1998,16.939,
Africa (UN),,1999,17.037,
Africa (UN),,2000,17.129,
Africa (UN),,2001,17.218,
Africa (UN),,2002,17.307,
Africa (UN),,2003,17.395,
Africa (UN),,2004,17.48,
Africa (UN),,2005,17.558,
Africa (UN),,2006,17.626,
Africa (UN),,2007,17.687,
Africa (UN),,2008,17.748,
Africa (UN),,2009,17.809,
Africa (UN),,2010,17.867,
Africa (UN),,2011,17.925,
Africa (UN),,2012,17.986,
Africa (UN),,2013,18.05,
Africa (UN),,2014,18.111,
Africa (UN),,2015,18.174,
Africa (UN),,2016,18.241,
Africa (UN),,2017,18.32,
Africa (UN),,2018,18.421,
Africa (UN),,2019,18.532,
Africa (UN),,2020,18.649,
Africa (UN),,2021,18.769,
Africa (UN),,2022,18.894,
Africa (UN),,2023,19.032,
Africa (UN),,2024,,19.174
Africa (UN),,2025,,19.321
Africa (UN),,2026,,19.481
Africa (UN),,2027,,19.649
Africa (UN),,2028,,19.824
Africa (UN),,2029,,20.005
Africa (UN),,2030,,20.193
Africa (UN),,2031,,20.386
Africa (UN),,2032,,20.584
Africa (UN),,2033,,20.786
Africa (UN),,2034,,20.99
Africa (UN),,2035,,21.197
Africa (UN),,2036,,21.407
Africa (UN),,2037,,21.618
Africa (UN),,2038,,21.831
Africa (UN),,2039,,22.043
Africa (UN),,2040,,22.254
Africa (UN),,2041,,22.465
Africa (UN),,2042,,22.675
Africa (UN),,2043,,22.884
Africa (UN),,2044,,23.093
Africa (UN),,2045,,23.303
Africa (UN),,2046,,23.515
Africa (UN),,2047,,23.729
Africa (UN),,2048,,23.944
Africa (UN),,2049,,24.162
Africa (UN),,2050,,24.382
Africa (UN),,2051,,24.603
Africa (UN),,2052,,24.824
Africa (UN),,2053,,25.046
Africa (UN),,2054,,25.269
Africa (UN),,2055,,25.494
Africa (UN),,2056,,25.719
Africa (UN),,2057,,25.944
Africa (UN),,2058,,26.171
Africa (UN),,2059,,26.397
Africa (UN),,2060,,26.624
Africa (UN),,2061,,26.85
Africa (UN),,2062,,27.078
Africa (UN),,2063,,27.305
Africa (UN),,2064,,27.533
Africa (UN),,2065,,27.76
Africa (UN),,2066,,27.987
Africa (UN),,2067,,28.214
Africa (UN),,2068,,28.44
Africa (UN),,2069,,28.667
Africa (UN),,2070,,28.893
Africa (UN),,2071,,29.119
Africa (UN),,2072,,29.343
Africa (UN),,2073,,29.568
Africa (UN),,2074,,29.791
Africa (UN),,2075,,30.013
Africa (UN),,2076,,30.235
Africa (UN),,2077,,30.454
Africa (UN),,2078,,30.673
Africa (UN),,2079,,30.89
Africa (UN),,2080,,31.107
Africa (UN),,2081,,31.321
Africa (UN),,2082,,31.534
Africa (UN),,2083,,31.745
Africa (UN),,2084,,31.955
Africa (UN),,2085,,32.162
Africa (UN),,2086,,32.368
Africa (UN),,2087,,32.572
Africa (UN),,2088,,32.774
Africa (UN),,2089,,32.975
Africa (UN),,2090,,33.173
Africa (UN),,2091,,33.37
Africa (UN),,2092,,33.565
Africa (UN),,2093,,33.759
Africa (UN),,2094,,33.951
Africa (UN),,2095,,34.141
Africa (UN),,2096,,34.329
Africa (UN),,2097,,34.516
Africa (UN),,2098,,34.7
Africa (UN),,2099,,34.883
Africa (UN),,2100,,35.064
Albania,ALB,1950,19.65,
Albania,ALB,1951,19.62,
Albania,ALB,1952,19.552,
Albania,ALB,1953,19.471,
Albania,ALB,1954,19.405,
Albania,ALB,1955,19.375,
Albania,ALB,1956,19.324,
Albania,ALB,1957,19.224,
Albania,ALB,1958,19.109,
Albania,ALB,1959,18.975,
Albania,ALB,1960,18.813,
Albania,ALB,1961,18.668,
Albania,ALB,1962,18.551,
Albania,ALB,1963,18.412,
Albania,ALB,1964,18.241,
Albania,ALB,1965,18.075,
Albania,ALB,1966,17.961,
Albania,ALB,1967,17.895,
Albania,ALB,1968,17.867,
Albania,ALB,1969,17.888,
Albania,ALB,1970,17.959,
Albania,ALB,1971,18.059,
Albania,ALB,1972,18.185,
Albania,ALB,1973,18.337,
Albania,ALB,1974,18.515,
Albania,ALB,1975,18.724,
Albania,ALB,1976,18.963,
Albania,ALB,1977,19.23,
Albania,ALB,1978,19.508,
Albania,ALB,1979,19.788,
Albania,ALB,1980,20.079,
Albania,ALB,1981,20.378,
Albania,ALB,1982,20.682,
Albania,ALB,1983,20.983,
Albania,ALB,1984,21.271,
Albania,ALB,1985,21.547,
Albania,ALB,1986,21.824,
Albania,ALB,1987,22.109,
Albania,ALB,1988,22.352,
Albania,ALB,1989,22.596,
Albania,ALB,1990,22.908,
Albania,ALB,1991,23.271,
Albania,ALB,1992,23.656,
Albania,ALB,1993,24.056,
Albania,ALB,1994,24.453,
Albania,ALB,1995,24.83,
Albania,ALB,1996,25.174,
Albania,ALB,1997,25.49,
Albania,ALB,1998,25.779,
Albania,ALB,1999,26.028,
Albania,ALB,2000,26.217,
Albania,ALB,2001,26.501,
Albania,ALB,2002,26.974,
Albania,ALB,2003,27.515,
Albania,ALB,2004,28.069,
Albania,ALB,2005,28.636,
Albania,ALB,2006,29.216,
Albania,ALB,2007,29.808,
Albania,ALB,2008,30.407,
Albania,ALB,2009,31,
Albania,ALB,2010,31.57,
Albania,ALB,2011,32.024,
Albania,ALB,2012,32.357,
Albania,ALB,2013,32.667,
Albania,ALB,2014,32.969,
Albania,ALB,2015,33.286,
Albania,ALB,2016,33.594,
Albania,ALB,2017,33.912,
Albania,ALB,2018,34.283,
Albania,ALB,2019,34.708,
Albania,ALB,2020,35.127,
Albania,ALB,2021,35.549,
Albania,ALB,2022,35.943,
Albania,ALB,2023,36.277,
Albania,ALB,2024,,36.721
Albania,ALB,2025,,37.266
Albania,ALB,2026,,37.818
Albania,ALB,2027,,38.37
Albania,ALB,2028,,38.927
Albania,ALB,2029,,39.492
Albania,ALB,2030,,40.064
Albania,ALB,2031,,40.64
Albania,ALB,2032,,41.218
Albania,ALB,2033,,41.801
Albania,ALB,2034,,42.391
Albania,ALB,2035,,42.978
Albania,ALB,2036,,43.565
Albania,ALB,2037,,44.154
Albania,ALB,2038,,44.737
Albania,ALB,2039,,45.319
Albania,ALB,2040,,45.897
Albania,ALB,2041,,46.466
Albania,ALB,2042,,47.026
Albania,ALB,2043,,47.579
Albania,ALB,2044,,48.122
Albania,ALB,2045,,48.655
Albania,ALB,2046,,49.181
Albania,ALB,2047,,49.687
Albania,ALB,2048,,50.177
Albania,ALB,2049,,50.646
Albania,ALB,2050,,51.096
Albania,ALB,2051,,51.526
Albania,ALB,2052,,51.943
Albania,ALB,2053,,52.361
Albania,ALB,2054,,52.766
Albania,ALB,2055,,53.152
Albania,ALB,2056,,53.496
Albania,ALB,2057,,53.807
Albania,ALB,2058,,54.092
Albania,ALB,2059,,54.373
Albania,ALB,2060,,54.646
Albania,ALB,2061,,54.906
Albania,ALB,2062,,55.146
Albania,ALB,2063,,55.368
Albania,ALB,2064,,55.578
Albania,ALB,2065,,55.783
Albania,ALB,2066,,55.989
Albania,ALB,2067,,56.204
Albania,ALB,2068,,56.439
Albania,ALB,2069,,56.698
Albania,ALB,2070,,56.983
Albania,ALB,2071,,57.293
Albania,ALB,2072,,57.613
Albania,ALB,2073,,57.928
Albania,ALB,2074,,58.225
Albania,ALB,2075,,58.488
Albania,ALB,2076,,58.706
Albania,ALB,2077,,58.881
Albania,ALB,2078,,59.007
Albania,ALB,2079,,59.09
Albania,ALB,2080,,59.15
Albania,ALB,2081,,59.194
Albania,ALB,2082,,59.225
Albania,ALB,2083,,59.241
Albania,ALB,2084,,59.239
Albania,ALB,2085,,59.218
Albania,ALB,2086,,59.179
Albania,ALB,2087,,59.123
Albania,ALB,2088,,59.055
Albania,ALB,2089,,58.979
Albania,ALB,2090,,58.89
Albania,ALB,2091,,58.791
Albania,ALB,2092,,58.681
Albania,ALB,2093,,58.563
Albania,ALB,2094,,58.433
Albania,ALB,2095,,58.294
Albania,ALB,2096,,58.15
Albania,ALB,2097,,58.004
Albania,ALB,2098,,57.863
Albania,ALB,2099,,57.732
Albania,ALB,2100,,57.617
Algeria,DZA,1950,18.353,
Algeria,DZA,1951,18.243,
Algeria,DZA,1952,18.137,
Algeria,DZA,1953,18.022,
Algeria,DZA,1954,17.859,
Algeria,DZA,1955,17.648,
Algeria,DZA,1956,17.421,
Algeria,DZA,1957,17.173,
Algeria,DZA,1958,16.9,
Algeria,DZA,1959,16.6,
Algeria,DZA,1960,16.291,
Algeria,DZA,1961,16.079,
Algeria,DZA,1962,15.937,
Algeria,DZA,1963,15.762,
Algeria,DZA,1964,15.583,
Algeria,DZA,1965,15.46,
Algeria,DZA,1966,15.367,
Algeria,DZA,1967,15.287,
Algeria,DZA,1968,15.257,
Algeria,DZA,1969,15.262,
Algeria,DZA,1970,15.287,
Algeria,DZA,1971,15.32,
Algeria,DZA,1972,15.357,
Algeria,DZA,1973,15.395,
Algeria,DZA,1974,15.437,
Algeria,DZA,1975,15.386,
Algeria,DZA,1976,15.227,
Algeria,DZA,1977,15.18,
Algeria,DZA,1978,15.266,
Algeria,DZA,1979,15.371,
Algeria,DZA,1980,15.491,
Algeria,DZA,1981,15.627,
Algeria,DZA,1982,15.779,
Algeria,DZA,1983,15.946,
Algeria,DZA,1984,16.125,
Algeria,DZA,1985,16.315,
Algeria,DZA,1986,16.522,
Algeria,DZA,1987,16.741,
Algeria,DZA,1988,16.974,
Algeria,DZA,1989,17.223,
Algeria,DZA,1990,17.488,
Algeria,DZA,1991,17.764,
Algeria,DZA,1992,18.001,
Algeria,DZA,1993,18.226,
Algeria,DZA,1994,18.488,
Algeria,DZA,1995,18.768,
Algeria,DZA,1996,19.067,
Algeria,DZA,1997,19.393,
Algeria,DZA,1998,19.802,
Algeria,DZA,1999,20.282,
Algeria,DZA,2000,20.767,
Algeria,DZA,2001,21.253,
Algeria,DZA,2002,21.744,
Algeria,DZA,2003,22.233,
Algeria,DZA,2004,22.708,
Algeria,DZA,2005,23.166,
Algeria,DZA,2006,23.602,
Algeria,DZA,2007,24.018,
Algeria,DZA,2008,24.412,
Algeria,DZA,2009,24.784,
Algeria,DZA,2010,25.139,
Algeria,DZA,2011,25.476,
Algeria,DZA,2012,25.787,
Algeria,DZA,2013,26.075,
Algeria,DZA,2014,26.341,
Algeria,DZA,2015,26.583,
Algeria,DZA,2016,26.811,
Algeria,DZA,2017,27.024,
Algeria,DZA,2018,27.23,
Algeria,DZA,2019,27.431,
Algeria,DZA,2020,27.608,
Algeria,DZA,2021,27.783,
Algeria,DZA,2022,27.983,
Algeria,DZA,2023,28.189,
Algeria,DZA,2024,,28.399
Algeria,DZA,2025,,28.614
Algeria,DZA,2026,,28.826
Algeria,DZA,2027,,29.029
Algeria,DZA,2028,,29.193
Algeria,DZA,2029,,29.321
Algeria,DZA,2030,,29.453
Algeria,DZA,2031,,29.598
Algeria,DZA,2032,,29.745
Algeria,DZA,2033,,29.887
Algeria,DZA,2034,,30.035
Algeria,DZA,2035,,30.203
Algeria,DZA,2036,,30.392
Algeria,DZA,2037,,30.604
Algeria,DZA,2038,,30.834
Algeria,DZA,2039,,31.083
Algeria,DZA,2040,,31.35
Algeria,DZA,2041,,31.631
Algeria,DZA,2042,,31.921
Algeria,DZA,2043,,32.217
Algeria,DZA,2044,,32.517
Algeria,DZA,2045,,32.825
Algeria,DZA,2046,,33.148
Algeria,DZA,2047,,33.481
Algeria,DZA,2048,,33.825
Algeria,DZA,2049,,34.178
Algeria,DZA,2050,,34.541
Algeria,DZA,2051,,34.911
Algeria,DZA,2052,,35.287
Algeria,DZA,2053,,35.667
Algeria,DZA,2054,,36.048
Algeria,DZA,2055,,36.428
Algeria,DZA,2056,,36.805
Algeria,DZA,2057,,37.177
Algeria,DZA,2058,,37.546
Algeria,DZA,2059,,37.906
Algeria,DZA,2060,,38.256
Algeria,DZA,2061,,38.594
Algeria,DZA,2062,,38.915
Algeria,DZA,2063,,39.221
Algeria,DZA,2064,,39.509
Algeria,DZA,2065,,39.778
Algeria,DZA,2066,,40.028
Algeria,DZA,2067,,40.255
Algeria,DZA,2068,,40.461
Algeria,DZA,2069,,40.644
Algeria,DZA,2070,,40.81
Algeria,DZA,2071,,40.956
Algeria,DZA,2072,,41.08
Algeria,DZA,2073,,41.192
Algeria,DZA,2074,,41.295
Algeria,DZA,2075,,41.393
Algeria,DZA,2076,,41.495
Algeria,DZA,2077,,41.603
Algeria,DZA,2078,,41.719
Algeria,DZA,2079,,41.846
Algeria,DZA,2080,,41.986
Algeria,DZA,2081,,42.145
Algeria,DZA,2082,,42.321
Algeria,DZA,2083,,42.514
Algeria,DZA,2084,,42.72
Algeria,DZA,2085,,42.94
Algeria,DZA,2086,,43.171
Algeria,DZA,2087,,43.415
Algeria,DZA,2088,,43.671
Algeria,DZA,2089,,43.937
Algeria,DZA,2090,,44.208
Algeria,DZA,2091,,44.483
Algeria,DZA,2092,,44.761
Algeria,DZA,2093,,45.035
Algeria,DZA,2094,,45.306
Algeria,DZA,2095,,45.575
Algeria,DZA,2096,,45.835
Algeria,DZA,2097,,46.085
Algeria,DZA,2098,,46.325
Algeria,DZA,2099,,46.551
Algeria,DZA,2100,,46.76
American Samoa,ASM,1950,15.528,
American Samoa,ASM,1951,15.51,
American Samoa,ASM,1952,15.393,
American Samoa,ASM,1953,15.253,
American Samoa,ASM,1954,15.109,
American Samoa,ASM,1955,14.977,
American Samoa,ASM,1956,14.82,
American Samoa,ASM,1957,14.655,
American Samoa,ASM,1958,14.485,
American Samoa,ASM,1959,14.323,
American Samoa,ASM,1960,14.321,
American Samoa,ASM,1961,14.485,
American Samoa,ASM,1962,14.649,
American Samoa,ASM,1963,14.764,
American Samoa,ASM,1964,14.839,
American Samoa,ASM,1965,14.878,
American Samoa,ASM,1966,14.891,
American Samoa,ASM,1967,14.913,
American Samoa,ASM,1968,14.95,
American Samoa,ASM,1969,15.014,
American Samoa,ASM,1970,15.183,
American Samoa,ASM,1971,15.442,
American Samoa,ASM,1972,15.693,
American Samoa,ASM,1973,15.921,
American Samoa,ASM,1974,16.152,
American Samoa,ASM,1975,16.397,
American Samoa,ASM,1976,16.655,
American Samoa,ASM,1977,16.926,
American Samoa,ASM,1978,17.219,
American Samoa,ASM,1979,17.543,
American Samoa,ASM,1980,17.832,
American Samoa,ASM,1981,18.047,
American Samoa,ASM,1982,18.234,
American Samoa,ASM,1983,18.422,
American Samoa,ASM,1984,18.613,
American Samoa,ASM,1985,18.811,
American Samoa,ASM,1986,19.02,
American Samoa,ASM,1987,19.238,
American Samoa,ASM,1988,19.46,
American Samoa,ASM,1989,19.679,
American Samoa,ASM,1990,19.825,
American Samoa,ASM,1991,19.883,
American Samoa,ASM,1992,19.917,
American Samoa,ASM,1993,19.953,
American Samoa,ASM,1994,19.991,
American Samoa,ASM,1995,20.03,
American Samoa,ASM,1996,20.078,
American Samoa,ASM,1997,20.129,
American Samoa,ASM,1998,20.179,
American Samoa,ASM,1999,20.237,
American Samoa,ASM,2000,20.341,
American Samoa,ASM,2001,20.517,
American Samoa,ASM,2002,20.731,
American Samoa,ASM,2003,20.955,
American Samoa,ASM,2004,21.169,
American Samoa,ASM,2005,21.359,
American Samoa,ASM,2006,21.504,
American Samoa,ASM,2007,21.581,
American Samoa,ASM,2008,21.554,
American Samoa,ASM,2009,21.42,
American Samoa,ASM,2010,21.493,
American Samoa,ASM,2011,21.918,
American Samoa,ASM,2012,22.466,
American Samoa,ASM,2013,23.036,
American Samoa,ASM,2014,23.625,
American Samoa,ASM,2015,24.214,
American Samoa,ASM,2016,24.787,
American Samoa,ASM,2017,25.333,
American Samoa,ASM,2018,25.83,
American Samoa,ASM,2019,26.251,
American Samoa,ASM,2020,26.667,
American Samoa,ASM,2021,27.234,
American Samoa,ASM,2022,27.927,
American Samoa,ASM,2023,28.435,
American Samoa,ASM,2024,,28.727
American Samoa,ASM,2025,,28.958
American Samoa,ASM,2026,,29.088
American Samoa,ASM,2027,,29.106
American Samoa,ASM,2028,,29.071
American Samoa,ASM,2029,,29.059
American Samoa,ASM,2030,,29.137
American Samoa,ASM,2031,,29.321
American Samoa,ASM,2032,,29.563
American Samoa,ASM,2033,,29.847
American Samoa,ASM,2034,,30.165
American Samoa,ASM,2035,,30.494
American Samoa,ASM,2036,,30.833
American Samoa,ASM,2037,,31.174
American Samoa,ASM,2038,,31.511
American Samoa,ASM,2039,,31.854
American Samoa,ASM,2040,,32.21
American Samoa,ASM,2041,,32.557
American Samoa,ASM,2042,,32.895
American Samoa,ASM,2043,,33.238
American Samoa,ASM,2044,,33.584
American Samoa,ASM,2045,,33.922
American Samoa,ASM,2046,,34.261
American Samoa,ASM,2047,,34.6
American Samoa,ASM,2048,,34.936
American Samoa,ASM,2049,,35.275
American Samoa,ASM,2050,,35.603
American Samoa,ASM,2051,,35.928
American Samoa,ASM,2052,,36.262
American Samoa,ASM,2053,,36.596
American Samoa,ASM,2054,,36.933
American Samoa,ASM,2055,,37.279
American Samoa,ASM,2056,,37.631
American Samoa,ASM,2057,,37.982
American Samoa,ASM,2058,,38.332
American Samoa,ASM,2059,,38.637
American Samoa,ASM,2060,,38.882
American Samoa,ASM,2061,,39.047
American Samoa,ASM,2062,,39.198
American Samoa,ASM,2063,,39.323
American Samoa,ASM,2064,,39.411
American Samoa,ASM,2065,,39.464
American Samoa,ASM,2066,,39.502
American Samoa,ASM,2067,,39.529
American Samoa,ASM,2068,,39.549
American Samoa,ASM,2069,,39.581
American Samoa,ASM,2070,,39.615
American Samoa,ASM,2071,,39.65
American Samoa,ASM,2072,,39.711
American Samoa,ASM,2073,,39.792
American Samoa,ASM,2074,,39.889
American Samoa,ASM,2075,,40.021
American Samoa,ASM,2076,,40.18
American Samoa,ASM,2077,,40.351
American Samoa,ASM,2078,,40.55
American Samoa,ASM,2079,,40.768
American Samoa,ASM,2080,,40.994
American Samoa,ASM,2081,,41.242
American Samoa,ASM,2082,,41.5
American Samoa,ASM,2083,,41.77
American Samoa,ASM,2084,,42.047
American Samoa,ASM,2085,,42.321
American Samoa,ASM,2086,,42.598
American Samoa,ASM,2087,,42.874
American Samoa,ASM,2088,,43.151
American Samoa,ASM,2089,,43.424
American Samoa,ASM,2090,,43.688
American Samoa,ASM,2091,,43.953
American Samoa,ASM,2092,,44.214
American Samoa,ASM,2093,,44.461
American Samoa,ASM,2094,,44.689
American Samoa,ASM,2095,,44.9
American Samoa,ASM,2096,,45.091
American Samoa,ASM,2097,,45.26
American Samoa,ASM,2098,,45.4
American Samoa,ASM,2099,,45.516
American Samoa,ASM,2100,,45.61
Andorra,AND,1950,30.883,
Andorra,AND,1951,31.428,
Andorra,AND,1952,32.777,
Andorra,AND,1953,33.225,
Andorra,AND,1954,32.205,
Andorra,AND,1955,30.997,
Andorra,AND,1956,30.067,
Andorra,AND,1957,29.312,
Andorra,AND,1958,28.769,
Andorra,AND,1959,28.405,
Andorra,AND,1960,28.175,
Andorra,AND,1961,28.063,
Andorra,AND,1962,28.034,
Andorra,AND,1963,28.069,
Andorra,AND,1964,28.161,
Andorra,AND,1965,28.329,
Andorra,AND,1966,28.2,
Andorra,AND,1967,27.432,
Andorra,AND,1968,26.438,
Andorra,AND,1969,25.674,
Andorra,AND,1970,25.125,
Andorra,AND,1971,24.774,
Andorra,AND,1972,24.571,
Andorra,AND,1973,24.52,
Andorra,AND,1974,24.591,
Andorra,AND,1975,24.773,
Andorra,AND,1976,25.054,
Andorra,AND,1977,25.435,
Andorra,AND,1978,25.92,
Andorra,AND,1979,26.507,
Andorra,AND,1980,27.209,
Andorra,AND,1981,27.986,
Andorra,AND,1982,28.505,
Andorra,AND,1983,28.809,
Andorra,AND,1984,29.186,
Andorra,AND,1985,29.668,
Andorra,AND,1986,30.033,
Andorra,AND,1987,30.409,
Andorra,AND,1988,31.001,
Andorra,AND,1989,31.57,
Andorra,AND,1990,31.79,
Andorra,AND,1991,31.538,
Andorra,AND,1992,31.499,
Andorra,AND,1993,32.092,
Andorra,AND,1994,32.785,
Andorra,AND,1995,33.324,
Andorra,AND,1996,33.807,
Andorra,AND,1997,34.251,
Andorra,AND,1998,34.707,
Andorra,AND,1999,35.265,
Andorra,AND,2000,35.945,
Andorra,AND,2001,36.68,
Andorra,AND,2002,37.317,
Andorra,AND,2003,37.412,
Andorra,AND,2004,37.085,
Andorra,AND,2005,36.815,
